school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DANCE - MODERN,MODERN DANCE
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,ENGLISH DRAMA
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,MUSICIANS' CLUB,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,JAPANESE CLUB,JAPANESE CULTURAL SOCIETY
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,LIBRARY COUNCIL,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,OUTDOOR ACTIVITIES CLUB,OUTDOOR ADVENTURE CLUB
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,COLLEGE PUBLICATIONS,INNOVA PRESS
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,STRATEGY CLUB,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,HOCKEY,HOCKEY (GIRLS)
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,NETBALL (GIRLS)
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SOFTBALL,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SQUASH,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SWIMMING,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TRACK & FIELD,na
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na
